City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Salinas,US,80.56,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
386,Iseyin,NG,76.41,moderate rain,7.9667,3.6,Momak Hotels And Suites
389,Morondava,MG,75.27,clear sky,-20.2833,44.2833,La Case Bambou
390,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
392,Bouar,CF,75.47,light rain,5.934,15.596,Motel de l'UNITE
413,Vila Do Maio,CV,84.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
419,Salinopolis,BR,84.38,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
421,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
424,Bonthe,SL,82.9,light rain,7.5264,-12.505,Bonthe Holiday Village
432,Torit,SS,78.94,overcast clouds,4.4133,32.5678,Diplomat Guest House
434,Grants,US,77.23,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
440,Sao Jose Da Coroa Grande,BR,80.4,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
444,Benghazi,LY,75.25,clear sky,32.1167,20.0667,Tibesti Hotel
446,Sinnamary,GF,82.62,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
447,Matara,LK,79.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
452,Kampene,CD,77.79,broken clouds,-3.6,26.6667,
454,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
459,Sorong,ID,81.9,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
465,Komsomolskiy,UZ,79.52,moderate rain,40.4272,71.7189,Ikathouse
468,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
471,Coro,VE,87.33,scattered clouds,11.4045,-69.6734,Federal
474,Chake Chake,TZ,77.41,broken clouds,-5.2459,39.7666,Hotel Archipelago
477,Laibin,CN,75.97,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
478,Uthal,PK,85.41,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
479,Qui Nhon,VN,79.79,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
482,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
