City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Port Alfred,ZA,2022-06-11 00:29:34,-33.5906,26.891,62.94,49,0,9.69
91,Thompson,CA,2022-06-11 00:28:02,55.7435,-97.8558,73.56,27,20,12.66
92,Kruisfontein,ZA,2022-06-11 00:29:35,-34.0033,24.7314,59.63,34,1,10.0
93,Tiksi,RU,2022-06-11 00:29:35,71.6872,128.8694,41.29,75,48,6.24
94,Aklavik,CA,2022-06-11 00:29:35,68.2191,-135.0107,48.85,68,100,4.29
95,Jizan,SA,2022-06-11 00:29:36,17.3333,42.6667,86.94,75,35,4.76
96,Nazarovo,RU,2022-06-11 00:29:40,56.0064,90.3914,58.75,65,29,6.98
97,Khatanga,RU,2022-06-11 00:29:40,71.9667,102.5,43.41,65,98,7.25
98,Hithadhoo,MV,2022-06-11 00:29:40,-0.6,73.0833,83.44,71,58,7.29
99,Clyde River,CA,2022-06-11 00:29:41,70.4692,-68.5914,32.23,100,100,10.36
100,Harper,LR,2022-06-11 00:29:41,4.375,-7.7169,76.89,87,100,6.93
101,Yellowknife,CA,2022-06-11 00:25:18,62.456,-114.3525,77.52,33,75,17.27
102,Ponta Do Sol,PT,2022-06-11 00:29:41,32.6667,-17.1,70.43,67,0,4.34
103,Kudahuvadhoo,MV,2022-06-11 00:29:42,2.6708,72.8944,82.76,73,100,8.88
104,Cheyenne,US,2022-06-11 00:25:03,41.14,-104.8203,86.32,17,0,21.85
105,Kargasok,RU,2022-06-11 00:29:42,59.0556,80.8572,59.61,69,100,8.77
106,Punta Arenas,CL,2022-06-11 00:26:35,-53.15,-70.9167,46.51,76,40,13.8
107,Rio Rancho,US,2022-06-11 00:29:05,35.2334,-106.6645,101.12,8,0,10.36
108,Mar Del Plata,AR,2022-06-11 00:26:32,-38.0023,-57.5575,45.09,90,75,14.97
109,Narsaq,GL,2022-06-11 00:29:42,60.9167,-46.05,53.82,68,100,4.34
110,Chuy,UY,2022-06-11 00:29:43,-33.6971,-53.4616,42.37,61,16,13.2
111,Nesna,NO,2022-06-11 00:29:43,66.1967,13.0213,58.66,59,71,14.97
112,Jamestown,US,2022-06-11 00:29:43,42.097,-79.2353,65.84,57,0,4.61
113,Litovko,RU,2022-06-11 00:26:55,49.2361,135.1742,54.34,70,100,3.96
114,Svetlogorsk,BY,2022-06-11 00:29:44,52.6333,29.7333,61.77,85,11,4.9
115,Saint-Augustin,CA,2022-06-11 00:29:44,51.226,-58.6502,49.87,98,100,11.1
116,Bethel,US,2022-06-11 00:29:45,41.3712,-73.414,72.64,60,0,4.61
117,Bredasdorp,ZA,2022-06-11 00:29:45,-34.5322,20.0403,59.86,34,79,6.73
118,Namibe,AO,2022-06-11 00:29:45,-15.1961,12.1522,71.46,57,0,5.32
119,Mattru,SL,2022-06-11 00:29:45,7.6244,-11.8332,74.8,96,100,1.88
120,Coahuayana,MX,2022-06-11 00:29:46,18.7333,-103.6833,84.76,66,99,5.28
121,Chokurdakh,RU,2022-06-11 00:29:46,70.6333,147.9167,59.65,38,47,13.53
122,Tabou,CI,2022-06-11 00:29:46,4.423,-7.3528,75.97,89,100,6.08
123,Houma,US,2022-06-11 00:26:41,29.5958,-90.7195,73.4,88,0,0.0
124,Dakar,SN,2022-06-11 00:29:47,14.6937,-17.4441,77.13,83,75,4.61
125,Arraial Do Cabo,BR,2022-06-11 00:29:47,-22.9661,-42.0278,71.06,88,99,20.51
126,Panzhihua,CN,2022-06-11 00:29:47,26.5851,101.7128,69.33,90,100,2.95
127,Labuhan,ID,2022-06-11 00:29:51,-6.8844,112.2051,79.03,84,58,5.84
128,Kapuskasing,CA,2022-06-11 00:29:52,49.4169,-82.4331,59.09,51,75,5.75
129,Padang,ID,2022-06-11 00:29:52,-0.9492,100.3543,75.25,90,94,3.13
130,Bambous Virieux,MU,2022-06-11 00:29:52,-20.3428,57.7575,70.05,94,75,9.22
131,Bengkulu,ID,2022-06-11 00:29:52,-3.8004,102.2655,73.83,90,89,3.47
132,Mushie,CD,2022-06-11 00:29:53,-3.0167,16.9,71.83,50,16,1.32
133,Hobart,AU,2022-06-11 00:29:53,-42.8794,147.3294,47.05,81,40,10.36
134,Gravelbourg,CA,2022-06-11 00:29:53,49.8834,-106.5512,80.87,27,60,18.59
135,Raghogarh,IN,2022-06-11 00:29:54,24.45,77.2,86.2,51,38,12.95
136,Mapiripan,CO,2022-06-11 00:29:54,2.8892,-72.1256,73.8,96,83,5.3
137,Kaitangata,NZ,2022-06-11 00:27:17,-46.2817,169.8464,37.62,94,65,8.61
138,Antofagasta,CL,2022-06-11 00:29:28,-23.65,-70.4,56.48,85,68,4.85
139,Manggar,ID,2022-06-11 00:29:54,-2.8833,108.2667,80.11,81,33,2.39
140,Reforma,MX,2022-06-11 00:29:55,18.1,-91.0167,86.09,64,85,5.75
141,Norman Wells,CA,2022-06-11 00:29:55,65.282,-126.8329,62.64,55,20,18.41
142,Srednekolymsk,RU,2022-06-11 00:29:55,67.45,153.6833,57.87,53,89,5.12
143,Mezen,RU,2022-06-11 00:29:56,65.8522,44.24,38.52,88,0,7.31
144,Georgetown,MY,2022-06-11 00:26:33,5.4112,100.3354,80.53,97,20,3.44
145,Monroe,US,2022-06-11 00:29:01,43.1501,-77.6831,68.02,58,75,12.66
146,Lorengau,PG,2022-06-11 00:29:56,-2.0226,147.2712,84.51,64,40,8.14
147,Taoudenni,ML,2022-06-11 00:29:56,22.6783,-3.9836,98.49,9,3,3.58
148,Portland,US,2022-06-11 00:25:45,45.5234,-122.6762,61.68,91,100,8.05
149,Faanui,PF,2022-06-11 00:29:57,-16.4833,-151.75,80.1,74,11,14.18
150,Yashkul,RU,2022-06-11 00:29:57,46.1711,45.3435,71.71,43,9,6.53
151,Acurenam,GQ,2022-06-11 00:29:58,1.0322,10.6488,67.71,97,91,3.0
152,Eyl,SO,2022-06-11 00:29:58,7.9803,49.8164,80.82,60,19,23.73
153,Mount Gambier,AU,2022-06-11 00:27:27,-37.8333,140.7667,52.0,66,98,9.53
154,Odweyne,SO,2022-06-11 00:29:58,9.4092,45.064,72.55,58,19,14.43
155,Columbus,US,2022-06-11 00:28:14,39.9612,-82.9988,73.6,56,100,13.8
156,Margate,GB,2022-06-11 00:29:59,51.3813,1.3862,57.31,87,1,4.0
157,Hobyo,SO,2022-06-11 00:29:59,5.3505,48.5268,78.49,80,87,22.95
158,Nikolskoye,RU,2022-06-11 00:29:59,59.7035,30.7861,56.88,87,100,1.59
159,Wanning,CN,2022-06-11 00:30:00,18.8003,110.3967,83.43,80,93,9.71
160,Grand Gaube,MU,2022-06-11 00:30:00,-20.0064,57.6608,70.2,89,8,5.99
