City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Puerto Escondido,MX,15.85,-97.0667,85.42,68,61,10.63,broken clouds
199,Mocuba,MZ,-16.8392,36.9856,66.56,84,86,3.13,overcast clouds
200,Hualmay,PE,-11.0964,-77.6139,67.51,72,42,10.4,scattered clouds
201,Broome,US,42.2506,-75.833,71.69,56,0,4.61,clear sky
202,Kruisfontein,ZA,-34.0033,24.7314,73.89,23,33,9.06,scattered clouds
203,Poum,NC,-20.2333,164.0167,75.54,75,55,9.66,broken clouds
204,Upernavik,GL,72.7868,-56.1549,28.36,80,13,11.9,few clouds
205,Ibra,OM,22.6906,58.5334,100.15,16,2,11.83,clear sky
206,Yumen,CN,40.2833,97.2,67.84,9,50,10.18,scattered clouds
207,Darhan,MN,49.4867,105.9228,54.82,81,80,3.51,broken clouds
208,Egvekinot,RU,66.3167,-179.1667,33.51,66,70,3.85,broken clouds
209,Edgewater,US,28.9889,-80.9023,89.02,66,40,12.66,scattered clouds
210,Butaritari,KI,3.0707,172.7902,81.32,76,17,11.68,few clouds
211,Mogok,MM,22.9167,96.5,66.11,97,100,3.04,overcast clouds
212,Libreville,GA,0.3925,9.4537,82.42,78,40,9.22,scattered clouds
213,Matola,MZ,-25.9622,32.4589,70.52,78,53,5.88,broken clouds
214,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,76,40,11.5,scattered clouds
215,Constitucion,CL,-35.3333,-72.4167,59.02,42,11,2.62,few clouds
216,Sept-Iles,CA,50.2001,-66.3821,66.72,68,75,11.5,broken clouds
217,Karratha,AU,-20.7377,116.8463,73.96,79,0,6.17,clear sky
218,Grand Gaube,MU,-20.0064,57.6608,73.8,77,67,5.01,broken clouds
219,Nikolskoye,RU,59.7035,30.7861,73.29,48,38,5.3,scattered clouds
220,New Norfolk,AU,-42.7826,147.0587,38.91,83,100,3.0,overcast clouds
221,Port Macquarie,AU,-31.4333,152.9167,44.49,70,0,4.61,clear sky
222,Pasco,US,28.292,-82.4165,86.95,61,100,12.3,overcast clouds
223,Sao Filipe,CV,14.8961,-24.4956,75.36,77,6,5.73,clear sky
224,Washington,US,47.5001,-120.5015,62.56,65,14,2.37,few clouds
225,Mahebourg,MU,-20.4081,57.7,73.69,68,75,13.8,broken clouds
226,Bay Roberts,CA,47.5999,-53.2648,71.35,77,100,4.0,overcast clouds
227,Quatre Cocos,MU,-20.2078,57.7625,73.51,71,91,19.37,overcast clouds
228,Usinsk,RU,65.9939,57.5281,44.85,67,100,22.06,overcast clouds
229,Aiquile,BO,-18.2041,-65.1807,62.15,27,60,3.65,broken clouds
230,Ketchikan,US,55.3422,-131.6461,48.67,93,100,17.27,moderate rain
231,Alyangula,AU,-13.8483,136.4192,70.18,74,95,12.39,overcast clouds
232,Najran,SA,17.4924,44.1277,97.45,8,3,8.32,clear sky
233,Port Keats,AU,-14.25,129.55,61.41,29,74,9.84,broken clouds
234,Fortuna,US,40.5982,-124.1573,65.32,94,40,0.0,scattered clouds
235,Touros,BR,-5.1989,-35.4608,85.19,60,71,8.97,broken clouds
236,Alpena,US,45.0617,-83.4327,73.65,67,0,5.01,clear sky
237,Maniitsoq,GL,65.4167,-52.9,41.65,79,24,10.09,few clouds
238,Kirakira,SB,-10.4544,161.9205,78.17,82,10,3.47,clear sky
239,Kamenka,RU,51.3223,42.7678,71.6,70,86,4.88,overcast clouds
240,Gat,IL,31.61,34.7642,96.4,32,0,10.76,clear sky
241,Souillac,MU,-20.5167,57.5167,73.78,68,75,13.8,broken clouds
242,Aguimes,ES,27.9054,-15.4461,76.66,61,20,35.68,few clouds
243,Buala,SB,-8.145,159.5921,79.16,80,32,3.98,scattered clouds
244,George,ZA,-33.963,22.4617,78.35,17,0,13.8,clear sky
245,Miyako,JP,39.6367,141.9525,58.82,97,100,3.02,overcast clouds
246,Sabang,ID,5.8933,95.3214,83.01,73,93,13.44,light rain
247,East London,ZA,-33.0153,27.9116,68.94,68,0,4.61,clear sky
248,Pangnirtung,CA,66.1451,-65.7125,39.2,87,100,11.5,overcast clouds
249,Xai-Xai,MZ,-25.0519,33.6442,65.82,82,12,5.41,few clouds
250,San Patricio,US,28.017,-97.5169,91.08,41,3,12.26,clear sky
251,Tautira,PF,-17.7333,-149.15,78.03,80,52,20.69,light rain
252,Holoby,UA,51.0865,25.0077,71.82,70,49,10.98,scattered clouds
253,Gairo,IT,39.8497,9.5047,74.17,33,1,5.12,clear sky
254,Aborlan,PH,9.4352,118.5492,82.47,81,73,2.75,broken clouds
255,Lavrentiya,RU,65.5833,-171.0,34.56,65,83,17.9,broken clouds
256,Manta,EC,-0.95,-80.7333,76.78,78,100,3.44,overcast clouds
257,Namtsy,RU,62.7161,129.6658,52.72,86,78,5.91,broken clouds
258,Gizo,SB,-8.103,156.8419,81.03,75,9,3.67,clear sky
259,Chute-Aux-Outardes,CA,49.1168,-68.399,73.38,49,75,21.85,broken clouds
260,Acari,PE,-15.4311,-74.6158,74.21,48,29,7.27,scattered clouds
261,Along,IN,28.1667,94.7667,73.33,99,100,0.6,overcast clouds
262,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,few clouds
263,Barpathar,IN,26.3,93.8667,76.91,96,100,0.98,overcast clouds
264,Aksarka,RU,66.5606,67.7975,65.64,56,34,11.07,scattered clouds
265,Hambantota,LK,6.1241,81.1185,80.96,81,100,16.22,overcast clouds
266,Grajau,BR,-5.8194,-46.1386,84.38,65,93,4.45,overcast clouds
267,Faya,SA,18.3851,42.4509,86.11,37,33,8.99,scattered clouds
268,Bethel,US,41.3712,-73.414,76.46,53,40,5.75,scattered clouds
269,Lakes Entrance,AU,-37.8811,147.981,53.17,74,100,24.02,overcast clouds
270,San Quintin,MX,30.4833,-115.95,70.75,69,7,6.55,clear sky
271,Novyy Urgal,RU,51.0736,132.5642,55.45,85,76,1.05,broken clouds
272,Mul,IN,20.0667,79.6667,91.92,40,38,6.29,scattered clouds
273,Nemuro,JP,43.3236,145.575,49.33,99,100,13.15,overcast clouds
274,Ponta Do Sol,PT,32.6667,-17.1,80.71,73,0,1.01,clear sky
275,Rio Gallegos,AR,-51.6226,-69.2181,48.25,57,75,11.5,broken clouds
276,Gambela,ET,8.25,34.5833,79.68,68,96,3.24,overcast clouds
277,Subachoque,CO,4.9261,-74.173,58.01,63,100,1.19,light rain
278,Avera,US,33.194,-82.5271,88.38,39,71,3.98,broken clouds
279,Viransehir,TR,37.2353,39.7631,92.71,19,0,10.04,clear sky
280,Pakxan,LA,18.3778,103.6601,76.55,93,74,2.08,broken clouds
281,Camacha,PT,33.0833,-16.3333,67.42,73,40,14.97,scattered clouds
282,Kendari,ID,-3.945,122.4989,75.87,94,100,2.48,light rain
283,Mayo,US,38.8876,-76.5119,69.94,84,100,5.75,overcast clouds
284,Aklavik,CA,68.2191,-135.0107,35.6,93,100,13.8,overcast clouds
285,Ust-Omchug,RU,61.15,149.6333,35.11,91,88,4.29,overcast clouds
286,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,49,13.2,scattered clouds
287,Asau,RO,46.4333,26.4,65.95,100,85,5.1,light rain
288,Kaukauna,US,44.278,-88.272,67.28,82,100,5.99,overcast clouds
289,Lasem,ID,-6.6922,111.4527,79.07,86,56,4.41,broken clouds
290,Akdagmadeni,TR,39.6603,35.8836,74.39,49,30,1.99,scattered clouds
291,Pemangkat,ID,1.1667,108.9667,80.8,74,100,1.86,overcast clouds
292,Jaguarari,BR,-10.2639,-40.1958,84.87,40,44,7.54,scattered clouds
293,Trelew,AR,-43.249,-65.3051,58.01,23,53,7.58,broken clouds
294,Georgetown,MY,5.4112,100.3354,78.73,99,40,2.3,light rain
295,Honiara,SB,-9.4333,159.95,76.06,83,6,4.07,clear sky
296,Tual,ID,-5.6667,132.75,81.99,78,94,10.11,overcast clouds
297,Meadow Lake,US,34.8014,-106.5436,92.21,26,0,7.02,clear sky
298,Soure,BR,-0.7167,-48.5233,81.64,80,99,8.75,overcast clouds
299,Novyy Urengoy,RU,66.0833,76.6333,64.81,72,100,15.17,light rain
300,Fernie,CA,49.5,-115.0687,54.28,78,88,7.47,overcast clouds
